key;en;nl;FR;de
drawGames.board.euroMillions.play.multi.carousel.info;You want to play more numbers and stars and increase your chances of winning? Then opt for the Multi! You can choose from the above list the number of numbers and stars you want to play. Then select your combination or make a Quick Pick! The computer will then choose a random combination. The price of a board depends on the number of numbers you want to play. You can play up to 6 boards.;Wil je meer nummers en sterren invullen en zo je kansen verhogen? Ga dan voor 'Multi'! In de lijst bovenaan kan je kiezen met hoeveel nummers en sterren je wil spelen. Selecteer daarna je nummers en sterren. Of ga voor een Quick Pick! Dan kiest de computer willekeurig je nummers en sterren. De prijs van een rooster hangt af van het aantal nummers dat je wil spelen. Je kan tot 6 roosters invullen.;Voulez-vous choisir plus de numéors et d'étoiles et augmenter vos chances ? Alors optez pour le Multi ! Dans la liste en haut, vous pouvez choisir le nombre de numéros et d'étoiles avec lesquels vous voulez jouer. Sélectionnez ensuite vos numéros et vos étoiles ou optez pour un Quick Pick ! L'ordinateur choisira vos numéros et vos étoiles au hasard. Le prix d'une grille dépend du nombre de numéros que vous voulez jouer. Vous pouvez remplir jusqu'à 6 grilles.;Möchten Sie mehr Zahlen und Sterne spielen und so Ihre Chancen erhöhen? Dann entscheiden Sie sich für 'Multi'! In der Liste oben können Sie auswählen, mit wie vielen Zahlen und Sternen Sie spielen möchten. Wählen Sie danach Ihre Zahlen und Sterne aus. Oder entscheiden Sie sich für einen Quick Pick! Dann wählt der Computer per Zufallsgenerator Ihre Zahlen und Sterne aus. Der Preis für ein Spielfeld ist abhängig von der Anzahl Zahlen, die Sie spielen möchten. Sie können bis zu 6 Spielfelder ausfüllen.
drawGames.board.euroMillions.play.lastWager.carousel.info;Have you already played? The computer saves the last bet slip you placed. That way you can easily replay it.;Heb je al eerder gespeeld? De computer bewaart je laatst gekozen nummers. Zo kan je ze makkelijk terug selecteren én dezelfde nummers opnieuw spelen.;Vous avez déjà joué ? L'ordinateur enregistre votre choix le plus récent. Vous pouvez donc facilement rejouer les mêmes numéros.;Sie haben schon einmal gespielt? Der Computer speichert Ihre zuletzt ausgewählten Zahlen. So können Sie diese ganz einfach wieder auswählen und die gleichen Zahlen noch einmal spielen.
drawGames.board.euroMillions.play.favorites.carousel.info;As soon as you have placed a bet slip, a purchase confirmation appears. You can save this bet slip by clicking on “Save as favorite”. You can then play it again at any time.;Zodra je een spelformulier hebt gekocht, krijg je je aankoopbevestiging te zien. Via de knop 'Bewaar als favoriet' kan je het bewaren. Die favorieten kan je later altijd weer opvragen.;Dès que vous soumettez un bulletin de jeu, votre confirmation d'achat apparaît. Utilisez le bouton « Enregistrer comme favori » pour sauvegarder les numéros que vous avez choisis. De cette façon, vous pourrez facilement les rejouer plus tard.;Nachdem Sie einen Spielschein gekauft haben, wird Ihnen eine Teilnahmebestätigung angezeigt. Über den Button 'Als Favorit speichern' können Sie diesen speichern. Die Favoriten können Sie später jederzeit wieder aufrufen.
drawGames.board.euroMillions.play.fastQuickPick.carousel.info;Quick and easy! Determine the amount you want to play. The computer then selects 5 numbers and 2 stars per board.;Makkelijk en snel! Bepaal het bedrag dat je wil uitgeven. De computer kiest daarna altijd 5 nummers en 2 sterren per rooster.;Facile et rapide ! Déterminez le montant que vous souhaitez jouer. L'ordinateur choisira 5 numéros et 2 étoiles par grille.;Einfach und schnell! Legen Sie den Betrag fest, den Sie ausgeben wollen. Der Computer wählt danach immer 5 Zahlen und 2 Sterne pro Spielfeld aus.
drawgames.euroMillions.how-to-play.single;In each board, select 5 numbers and 2 stars. You can already play with 1 board if you wish. Each played board costs € {0}.;In een rooster selecteer je 5 nummers en 2 sterren. Je kunt al met 1 rooster spelen. Je betaalt € {0} per rooster.;Dans chaque grille, sélectionnez 5 numéros et 2 étoiles. Vous pouvezdéjà jouer avec une grille. Vous payez {0} € par grille.;In einem Spielfeld wählen Sie 5 Zahlen und 2 Sterne. Sie können schon mit einem Spielfeld spielen. Für jedes Spielfeld zahlen Sie {0} €.
drawGames.betSlip.navigation.bulletin;Your bet slip;Nieuw spelformulier;Nouveau bulletin;Neuer Spielschein
drawGames.favorites.no-favorites;You have no favorite. Place first a bet slip, then save it as a favorite.;Geen favoriet spelformulier, speel eerst een spelformulier en bewaar het als favoriet.;Pas de bulletin préféré, jouez d'abord un bulletin et enregistrez-le comme favori.;Kein Spielschein in den Favoriten. Spielen Sie zuerst einen Spielschein und speichern Sie ihn dann als Favorit.
drawGames.board.jokerplus.play.single.carousel.info;Select a number and the zodiac sign of your choice. Each combination costs € 1.50.;Selecteer een nummer en kies een sterrenbeeld naar keuze. Elke geselecteerde combinatie kost € 1.50.;Sélectionnez un numéro et choisissez le signe astrologique de votre choix. Chaque combinaison sélectionnée coûte 1,50 €.;Wählen Sie eine Zahl und ein Sternzeichen aus. Jede ausgewählte Kombination kostet 1,50 €.
drawGames.board.jokerplus.play.lastWager.carousel.info;Have you already played? The computer saves the last bet slip you placed. That way you can easily replay it.;Heb je al eerder gespeeld? De computer bewaart je laatst gekozen nummers. Zo kan je ze makkelijk terug selecteren én dezelfde nummers opnieuw spelen.;Vous avez déjà joué ? L'ordinateur enregistre votre choix le plus récent. Vous pouvez donc facilement rejouer les mêmes numéros.;Sie haben schon einmal gespielt? Der Computer speichert Ihre zuletzt ausgewählten Zahlen. So können Sie diese ganz einfach wieder auswählen und die gleichen Zahlen noch einmal spielen.
drawGames.board.jokerplus.play.favorites.carousel.info;As soon as you have placed a bet slip, a purchase confirmation appears. You can save this bet slip by clicking on “Save as favorite”. You can then play it again at any time.;Zodra je een spelformulier hebt gekocht, krijg je je aankoopbevestiging te zien. Via de knop 'Bewaar als favoriet' kan je het bewaren. Die favorieten kan je later altijd weer opvragen.;Dès que vous soumettez un bulletin de jeu, votre confirmation d'achat apparaît. Utilisez le bouton « Enregistrer comme favori » pour sauvegarder les numéros que vous avez choisis. De cette façon, vous pourrez facilement les rejouer plus tard.;Nachdem Sie einen Spielschein gekauft haben, wird Ihnen eine Teilnahmebestätigung angezeigt. Über den Button „Als Favorit speichern“ können Sie diesen speichern. Die Favoriten können Sie später jederzeit wieder aufrufen.
drawGames.favorites.save.title;Save as favorite combination;Opslaan als favoriete combinatie;Enregistrer comme favori;Kombination als Favorit speichern
drawGames.favorites.save.description;Did you select your Lucky {0} numbers or birthdays of your special ones? Name and save your so you can easily find it in your account.;Heb je je geluksnummers {0} of geboortedatum van iemand speciaal gekozen? Geef ze een naam en sla ze op zodat je ze gemakkelijk kan terugvinden in je account.;Avez-vous choisi vos {0} numéros porte-bonheur ou les anniversaires de vos proches ? Nommez-les et enregistrez-les pour pouvoir les retrouver facilement dans votre compte.;Haben Sie Ihre Lucky {0} Glückszahlen oder die Geburtstage Ihrer Lieben ausgewählt? Geben Sie einen Namen ein und speichern Sie die Kombination, damit Sie sie in Ihrem Konto ganz einfach wiederfinden.
drawGames.favorites.save.input.placeholder;Name of combination;Naam van het spelformulier;Nom du bulletin;Name der Kombination
drawGames.favorites.save.input.error;[EN] Please fill in a name.;Vul een naam in;Entrez un nom;Bitte geben Sie einen Namen ein
drawGames.favorites.save.duplicate.title;This name is already in use;Deze naam is al gebruikt;Ce nom est déjà utilisé;Dieser Name wird bereits verwendet
drawGames.favorites.save.duplicate.description;There is already a favorite combination with the name ;Er bestaat al een favoriet spelformulier met deze naam ;Il existe déjà un bulletin favori avec ce nom ;Es existiert bereits ein Favorit mit diesem Namen
drawGames.favorites.save.duplicate.action.title;What do you want to do?;Wat wil je doen?;Que voulez-vous faire ?;Was möchten Sie tun?
drawGames.favorites.save.duplicate.action.replace;Replace;Vervang;Remplacer;Ersetzen
drawGames.favorites.save.duplicate.action.keep;Keep both;Bewaar beide;Conserver les deux;Beide behalten
drawGames.favorites.save.confirmation.title;“{0}”;“{0}”;“{0}”;“{0}”
drawGames.favorites.save.confirmation.description;Is saved in your favorite combinations.;is opgeslagen in je favoriete combinatie;est enregistré dans vos combinaisons favorites.;Die Kombination wurde in Ihren Favoriten gespeichert.
drawGames.board.keno.play.keno.carousel.info;First select the number of numbers you want to play for each board and then select your numbers. The boards are played by 2. Each board costs a minimum of € 1.;Bepaal eerst het aantal nummers waarmee je wilt spelen per rooster. Kies vervolgens je nummers. Je speelt altijd per 2 roosters. Je betaalt minstens € 1 per rooster.;Choisissez d’abord le nombre de numéros que vous souhaitez jouer pour chaque grille et sélectionnez ensuite vos numéros. Les grilles se jouent par 2. Chaque grille coûte au minimum 1 €.;Legen Sie zunächst die Anzahl der Zahlen fest, die Sie pro Spielfeld spielen wollen. Wählen Sie dann Ihre Zahlen aus. Sie spielen immer pro 2 Spielfelder. Sie zahlen mindestens 1 € pro Spielfeld.
drawGames.board.keno.systemBets.numbers;numbers;nummers;numéros;Zahlen
drawGames.board.keno.systemBets.helper;Choose the number of numbers you want to play;Kies aantal nummers dat je wil spelen;Choisissez le nombre de numéros que vous voulez jouer;Wählen Sie Ihre Zahlen pro Spielfeld aus
drawGames.board.keno.systemBets.tooltip.title;Missing translation [EN];Missing translation [NL];Missing translation [NL];Missing translation [DE]
drawGames.board.keno.systemBets.tooltip.description;Missing translation [EN];Missing translation [NL];Missing translation [NL];Missing translation [DE]
drawGames.favorites.save.duplicate.description.name;“{0}”;“{0}”;“{0}”;“{0}”
drawGames.board.keno.stakePicker.title;Your stake;Je inzet;Votre mise;Ihr Einsatz
drawGames.board.keno.stakePicker.helper;Your stake also determines the amount of your possible winnings.;Met je inzet bepaal je de grootte van je mogelijke winst.;Votre mise détermine également le montant de vos gains éventuels.;Mit Ihrem Einsatz bestimmen Sie die Höhe Ihres möglichen Gewinns.
drawGames.board.keno.boards.tooltip.description;Each grid costs € {0} and you must play at least 2 grids (always play an even number of grids). So you can participate from € 2.;Elk rooster kost € {0} en je moet minstens 2 roosters spelen (speel altijd een even aantal roosters). Deelnemen kan dus vanaf € 2.;Chaque grille coûte {0} €  et vous devez jouer au moins 2 grilles (toujours un nombre pair de grilles). Vous pouvez jouer à partir de 2 €;Jedes Feld kostet {0} € und Sie müssen mindestens 2 Felder spielen (spielen Sie immer eine gerade Anzahl von Feldern). Sie können also ab 2 € teilnehmen.
drawGames.board.keno.boards.helper;Play even number of boards;Speel even aantal combinaties kiezen;Jouez un nombre pair de combinaisons;Gerade Anzahl von Kombinationen wählen
drawGames.board.jokerplus.unselectAll;[EN] Alles leeg maken;Alles leeg maken;Vider toutes les grilles;Alles leeren
drawGames.receipt.continuousPlay;You are participating continuously;Je speelt doorlopend;Vous jouez en continu;Sie spielen per Dauerteilnahme
drawGames.receipt.bonus;Bonus;Bonus;Bonus;Bonus
drawGames.generic.easy;That\'s easy:;Dat is gemakkelijk:;C'est facile :;Das ist leicht:
drawGames.betSlip.navigation.viking.threesteps;Vikinglotto in 3 steps;Vikinglotto in 3 simpele stappen!;Vikinglotto en 3 étapes;Vikinglotto in 3 einfachen Schritten
drawGames.betSlip.navigation.howtoplay.vikinglotto;Play?;Meespelen?;Envie de jouer ?;Spielen?
drawGames.betSlip.navigation.viking.choose.numbers;1. Choose your {0} numbers;1. Kies je {0} nummers;1. Choisissez vos {0} numéros;1. Wähle Sie Ihre {0} Nummern
drawGames.betSlip.navigation.viking.choose.favorites.vikings;2. You get your {0} vikings, but choose your Super Viking;2. Je speelt met de {0} Vikings, maar je kiest je Super Viking;2. Vous jouez avec les {0} Vikings, mais choisissez votre Super Viking.;2. Sie spielen mit den {0} Wikingern, aber Sie wählen Ihren Super-Wikinger
drawGames.betSlip.navigation.viking.choose.favorites.vikings.text;Which Viking will bring you luck? Choose your Super Viking and maybe double your winnings!;Welke Viking brengt jou geluk? Kies je Super Viking en verdubbel je winst!;Quel Viking vous portera-t-il chance ? Choisissez votre Super Viking et doublez peut-être votre gain !;Welcher Viking bringt Ihnen Glück? Entscheiden Sie sich für Ihren Super Viking und verdoppeln Sie Ihren Gewinn!
drawGames.betSlip.navigation.viking.superViking;Your Super Viking;Je Super Viking;Votre Super Viking;Ihr Super Viking
drawgames.extraLotto.how-to-play.single;Select 6 numbers per board. You can play a single board if you wish. Each board costs € € 1,25.;Selecteer 6 nummers per rooster. Je kunt al met 1 rooster spelen. Per rooster betaal je € 1,25.;Sélectionnez 6 numéros par grille. Vous pouvez déjà jouer avec une grille. Vous payez 1,25 € par grille.;Wählen Sie 6 Zahlen je Spielfeld. Sie können schon mit einem Spielfeld teilnehmen. Jedes Spielfeld kostet 1,25 €.
drawgames.extraLotto.how-to-play.multi;First indicate the number of picks you want to play per grid, then choose your numbers. You can already play with 1 grid.;Bepaal eerst per rooster het aantal nummers waarmee je wilt spelen. Kies vervolgens je nummers. Je kunt al met 1 rooster spelen.;Indiquez d’abord le nombre de numéros que vous voulez jouer par grille, choisissez ensuite vos numéros. Vous pouvez déjà jouer avec 1 grille.;Bestimmen Sie zuerst für jedes Spielfeld die Anzahl Zahlen, mit denen Sie spielen wollen. Wählen Sie zunächst Ihre Zahlen. Sie können schon mit 1 Spielfeld teilnehmen.
;;;;
drawGames.generic.prizeTable;Prize table;Lotenplan;Plan des lots;Gewinnverteilungsplan
drawGames.keno.prizeTable.modal.description;Here is the prize table if you play <strong>{0} numbers</strong> and bet <strong>{1}</strong>:;Hier is de lotenplan als je <strong>{0} nummers</strong> speelt en <strong>{1} inzet</strong>:;Voici le plan des lots si vous jouez <strong>{0} numéros</strong> pour une mise de <strong>{1}</strong> :;Hier ist der Gewinnverteilungsplan, wenn Sie <strong>{0} Zahlen</strong> spielen und <strong>{1}</strong> setzen: 
drawGames.keno.prizeTable.modal.quickPick.label;Quick Pick {0} numbers, bet € {1};Quick Pick {0} nummers, inzet € {1};Quick Pick numéro {0}, mise de {1} €;Quick Pick Nummer {0}, Einsatz: {1} €
drawGames.prizeTable.table.numberOfCorrectNumbers;Number of correct numbers;Aantal nummers juist;Nombre de numéros corrects;Anzahl richtiger Nummern
drawGames.prizeTable.table.chancesOfWinning;Chances of winning;Winstkans;Chance de gains;Gewinnchance
drawGames.prizeTable.table.win;Win;Win;Gagner;Gewinn
drawGames.prizeTable.modal.globalWinning;Global probability of winning: 1 on {0};Globale winstkans: 1 op {0};Chance de gain globale : 1 sur {0};Globale Gewinnwahrscheinlichkeit: 1 zu {0} 
drawGames.prizeTable.modal.higherProfit;The more you bet per grid, the higher your profit can be.;Hoe meer je inzet per rooster, hoe hoger je winst kan zijn.;Plus vous misez par grille, plus vos gains peuvent être élevés.;Je mehr Sie pro Feld setzen, desto höher kann Ihr Gewinn sein.
drawGames.numberPicker.numbers.label;Number of numbers;Aantal nummers;Nombre de numéros;Anzahl der Nummern
drawGames.numberPicker.stake.label;Bet per row;Inzet per rij;Mise par ligne;Wette pro Reihe
drawGames.generic.oneChanceOn;1 on {0};1 op {0};1 sur {0};1 zu {0}
drawGames.edit.continuousPlay.info;The adjustment will take effect from from the next draw, unless your ongoing participation is no longer active when the auto bet amount of your previous (ie unchanged) subscription has already been taken from your playing account and provided that your gaming account balance is sufficient.;De aanpassing gaat in vanaf de volgende trekking, tenzij je lopende deelname niet meer actief is wanneer de automatische inzet van je vorige (ongewijzigde) deelname al van je speelrekening is afgeschreven en op voorwaarde dat het saldo van je speelrekening toereikend is;L'ajustement prendra effet à partir du prochain tirage sauf si votre participation en continu n'est plus active lorsque la mise automatique de votre participation précédente (inchangée) a déjà été débitée de votre compte de jeu et à condition que le solde de votre compte de jeu soit suffisant.;Die Anpassung wird ab der nächsten Ziehung wirksam, es sei denn, Ihre laufende Teilnahme ist nicht mehr aktiv, wenn der automatische Wettbetrag Ihres vorherigen (dh unveränderten) Abonnements bereits von Ihrem Spielkonto abgezogen wurde und Ihr Spielkontostand ausreicht.
drawGames.edit.continuousPlay.receipt.title;Your ongoing participation was amended;Je doorlopende deelname werd gewijzigd;Votre participation en continu a été modifiée;Ihre Dauerteilnahme wurde geändert
drawGames.addon.jackpot.tooltip.title;To be defined [EN];To be defined [NL];To be defined [NL];To be defined [DE]
drawGames.addon.jackpot.tooltip.text;To be defined [EN];To be defined [NL];To be defined [NL];To be defined [DE]
drawGames.addon.jokerplus.win.info;Select a number and the zodiac sign of your choice. Each combination costs € {0};Selecteer een nummer en kies een sterrenbeeld naar keuze. Elke geselecteerde combinatie kost € {0};Sélectionnez un numéro et choisissez le signe astrologique de votre choix. Chaque combinaison sélectionnée coûte {0} €;Wählen Sie eine Zahl und ein Sternzeichen aus. Jede ausgewählte Kombination kostet {0} €.
flash5.infoCarrousel;Choose 5 numbers & 1 lucky charm;Kies 5 nummers & 1 geluksbrenger;Choisissez 5 numéros et un porte-bonheur;5 Zahlen und einen Glücksbringer wählen
flash5.infoCarrouselWon;Already {0} won today! ;Al {0} euro aan winstbedragen opgestreken vandaag;Déjà {0} € de gains aujourd'hui !;Schon {0} € an Gewinnen nur für diesen Tag!
flash5.lastBulletin;Last played;Laatste bulletin;Dernier bulletin;Letzter Schein
flash5.yourBoards;Your boards;Jouw roosters;Vos grilles;Ihre Spielfelder
flash5.clearBoards;Remove everything;Alle roosters leegmaken;Vider toutes les grilles;Alle Spielfelder leeren
flash5.nextDraw;Next draw;Volgende trekking;Prochain tirage;Nächste Ziehung
flash5.notPlayed;No tickets for this draw yet. Hurry up! Play before the countdown reaches 0.;Je hebt nog niet gespeeld voor de volgende trekking.<br/><br/>Registreer je spelrooster vóór de aftelklok stilstaat.;Vous n'avez pas encore joué pour le prochain tirage.<br/><br/>Validez votre grille avant la fin du décompte.;Sie haben noch nicht für die nächstfolgende Ziehung gespielt.<br/><br/>Registrieren Sie Ihr Spielfeld bevor der Timer abläuft.
flash5.buyWithOneClick;Buy with 1 click;Kopen met 1 klik;Acheter en 1 clic;Mit einem Klick kaufen
flash5.totalPrice;Total;Totaal;Total;Gesamt
flash5.numberOfDraws;Number of draws?;Aantal trekkingen?;Nombre de tirages?;Anzahl Ziehungen?
flash5.stake;Stake;Einsatz;Mise;Einsatz
flash5.priceLevel;Win till {0};Win tot €{0};Gagnez jusqu'à {0} €;Gewinnen Sie bis zu {0} €
flash5.profit;Profit;WINST;GAIN;GEWINN
flash5.summaryTitle;Thanks for playing;Bedankt om te spelen;Merci d'avoir jouer;Danke fürs Spielen!
flash5.summaryTextMulti;You participate in {0} consecutive draws.;Je neemt deel aan {0} opeenvolgende trekkingen ;Vous participez à {0} tirages consécutifs. ;Sie nehmen an {0} aufeinanderfolgenden Ziehungen teil
flash5.summaryText;You\'re participating with draw {0} on {1} at {2};Je neemt deel aan trekking {0} op {1} om {2};Vous participez au tirage du {0} le {1} à {2};Sie nehmen an der Ziehung {0} vom {1} um {2} Uhr teil
flash5.yourTicket;Your flash tickets;Jouw ticket;Votre ticket;Ihr Ticket
flash5.drawNumbers;Drawnumber(s);Trekkingsnummer(s);Numéro de tirage(s);Ziehungsnummer(n)
flash5.serialNumber;Serialnumber;Referentie;Référence;Referenz
flash5.wagerDate;Purchase date;Aankoopdatum;Date d'achat;Kaufdatum
flash5.totalWagerPrice;Total stake;Totale inzet;Mise totale;Gesamteinsatz
flash5.amountWon;You have won {0}!;Je hebt {0} gewonnen!;Vous avez gagné {0} !;Sie haben {0} gewonnen!
flash5.winning.fantastic;Fantastic!;Fantastisch!;Fantastique !;Fantastisch!
flash5.winning.yeehaa;Yeehaa!;Yeehaa!;Yeehaa !;Yeehaa!
flash5.winning.wellPlayed;Well Played!;Goed gespeeld!;Bien joué !;Gut Gespielt!
flash5.winning.hurray;Hurrayyy!;Hoeraaa!;Houraaa !;Hurra!
flash5.winning.congrats;Congrats!;Proficiat!;Félicitations !;Glückwunsch!
flash5.lost;Sorry, no profit!;Helaas, geen winst;Hélas, pas de gains;Leider, kein Gewinn
flash5.prizeTable.modal.description;Here is the prize table if you bet <strong>{0}</strong>:;Hier is het lotenplan als je <strong>{0} inzet</strong>:;Voici le plan des lots si vous jouez pour une mise de <strong>{0}</strong> :;Hier ist der Gewinnverteilungsplan, wenn Sie <strong>{0}</strong> einsetzen:
flash5.prizeTable.modal.quickPick.label;Quick Pick, bet € {0};Quick Pick, inzet € {0};Quick Pick, mise de {0} €;Quick Pick, Einsatz {0} €
flash5.prizeTable.table.priceLevel;Price level;Rang;Rang;Rang
flash5.prizeTable.table.correctNumbers;Correct numbers;Juiste nummers;Numéros corrects;Richtige Zahlen
flash5.prizeTable.table.correctSymbol;Correct symbol;Juiste symbool;Symbole correct;Richtiges Symbol
flash5.prizeTable.table.winning;Winning;Winst;Gains;Gewinne
flash5.wagerIsNextDraw;This game ticket is valid for the next draw.;Dit spelticket is geldig voor de <b>volgende trekking</b>;Votre bulletin de jeu est validé pour <b>le prochain tirage</b>;Dieser Teilnahmeschein ist für die <b>nächstfolgende Ziehung</b> gültig
flash5.receiptDate;{0} at {1};{0} om {1};{0} à {1};{0} bis {1} 
egameBuy;Buy;Koop;Acheter;Kaufen
egameCardNavLabel;GAME;SPEL;JEU;SPIEL
egameHowToPlayInfo;"<div>Scratch the play area. You win the amount that appears.</div><ul><li>Select “Buy” and then “Start”. A game participation costs you €{0}. You can win up to €{1}.</li><li>Scratch the play area.</li><li>You win the amount that appears.</li><li>Don&apos;t feel like scratching yourself? Choose “Autoplay”. Then we scratch the play area free.</li><li>The way you play does not affect the outcome of your game participation.</li></ul";<div>Kras de speelzone vrij. Je wint het bedrag dat tevoorschijn komt.</div><ul><li>Selecteer 'Koop' en vervolgens 'Start'. Een deelname kost je €{0}. Je kan tot €{1} winnen.</li><li>Kras de speelzone vrij.</li><li>Je wint het bedrag dat tevoorschijn komt.</li><li>Geen zin om zelf te krassen? Kies 'Autoplay'. Dan krassen wij de speelzone vrij.</li><li>Je wijze van deelname heeft geen invloed op het resultaat van het spel.</li></ul;<div>Grattez la zone de jeu. Vous gagnez le montant qui apparaît.</div><ul><li>Sélectionnez « Acheter » et puis « Commencer ». Une participation de jeu vous coûte €{0}. Vous pouvez gagner jusqu’à €{1}.</li><li>Grattez la zone de jeu.</li><li>Vous gagnez le montant qui apparaît.</li><li>Pas envie de gratter ? Sélectionnez « Autoplay ». Nous nous occupons alors du grattage de la zone de jeu.</li><li>La façon de jouer n’a aucune influence sur le résultat d’une participation de jeu.</li></ul>;<div>Rubbeln Sie die Spielzone frei. Der angezeigte Betrag ist Ihr Gewinn.</div><ul><li>Wählen Sie 'Kaufen' und dann 'Start'. Eine Spielteilnahme kostet Sie {0} €. Sie können bis zu {1} € gewinnen.</li><li>Rubbeln Sie die Spielzone frei.</li><li>Der angezeigte Betrag ist Ihr Gewinn.</li><li>Sie haben keine Lust auf Rubbeln? Wählen Sie 'Autoplay'. Dann rubbeln wir die Spielzone für Sie frei.</li><li>Die Spielart hat keinerlei Einfluss auf das Spielergebnis.</li></ul
egameHowToPlayTitle;How to play?;Hoe spelen?;Comment jouer ?;Spielanleitung
egameIntroStep1;Scratch the play area free to find out if you\'ve won.;Kras de speelzones vrij om te ontdekken of je gewonnen hebt.;Grattez les zones de jeu afin de découvrir si vous avez gagné.;Rubbeln Sie die Spielzonen frei um herauszufinden, ob Sie gewonnen haben.
egameNextCard;Next;Volgende;Suivant;Weiter
egamePriceMaxInfo;Win until {0};Win tot {0};Gagnez jusqu’à {0};Gewinnen Sie bis zu {0}
egamePriceMaxInfo250X;250 x {0} to win;250 x {0} te winnen;250 x {0} à gagner;250 x {0} zu gewinnen
egamePriceMaxForLife;Win until {0} for life;Win levenslang tot {0};Gagnez jusqu’à {0} à vie;Gewinnen Sie bis zu {0} ein Leben lang
egamePricePerGame;€{0} per game;€ {0} per spel;{0} € par jeu;{0} € pro Spiel
egameReplay;Try;Proberen;Essayer;Probieren
egameResult;Result;Resultaat;Résultat;Ergebnis
egameTry;Try;Proberen;Essayer;Probieren
egameGameInProgress;<strong>You have a game in progress</strong> You need to finish this one first.;<strong>Je hebt al een spel openstaan</strong> Je moet dat eerst uitspelen.;<strong>Vous avez un jeu en cours.</strong> Vous devez d'abord de finir.;<strong>Sie haben bereits ein laufendes Spiel</strong> Sie müssen dieses Spiel zuerst beenden.
egameGameInProgressContinue;Continue open game;Speel openstaand spel uit;Poursuivre le jeu en cours;Laufendes Spiel beenden
egameShowGameInfo;Show game info;Toon spelinfo;Montrer les infos du jeu;Spielinfo anzeigen
egameMute;Mute;Zonder geluid;Sans son;Ton aus
egameUnmute;Unmute;Met geluid;Avec son;Ton ein
egameWinLow;Congratulations, you have won €{0}!;Proficiat, je hebt € {0} gewonnen!;Bravo, vous avez gagné €{0} !;Herzlichen Glückwunsch, Sie haben {0} € gewonnen!
egameWinLowInfo;This amount was immediately credited to your player account.;Dit bedrag staat intussen al op je speelrekening.;Ce montant a été immédiatement versé sur votre compte de jeu.;Der Betrag wurde bereits Ihrem Spielkonto gutgeschrieben.
eGameConfirmIntroTitleAstro;Choose a zodiac sign and then “Start” to start the test game.;Kies een sterrenbeeld en klik op 'Start' om het testspel te starten.;Sélectionnez un signe astrologique puis « Commencer » pour lancer le jeu d’essai.;Wählen Sie ein Sternzeichen und dann 'Start', um das Testspiel zu starten.
eGameConfirmIntroKingOfCash;Choose your character.;Kies je personage.;Choisissez votre personnage.;Wählen Sie Ihre Spielfigur aus.
egameConfirmMultiAction;{0} games, {0} chances of winning;{0} spelen, {0} winstkansen ;{0} jeux, {0} chances de gain;{0} Spiele, {0} Gewinnchancen
egameConfirmMultiSteps;{0} games, {0} chances of winning;{0} spelen, {0} winstkansen;{0} jeux, {0} chances de gain;{0} Spiele, {0} Gewinnchancen
egameConfirmRealAction;Choose “Start” to start the game.;Kies 'Start' om het spel te starten.;Sélectionnez « Commencer » pour lancer le jeu.;Wählen Sie 'Start', um das Spiel zu starten.
egameConfirmRealBet;Your bet (€{0}) is immediately deducted from your gaming account.;Je inzet (€ {0}) gaat meteen van je speelrekening.;Votre mise ({0} €) est immédiatement déduite de votre compte de jeu.;Ihr Einsatz ({0} €) wird sofort von Ihrem Spielkonto abgezogen.
egameConfirmRealConfirm;Start;Start;Commencer;Start
egameConfirmRealLegal;The consumer does not have the right to cancel the purchase.;De consument beschikt niet over het recht om van de aankoop af te zien.;Le consommateur ne dispose pas du droit de renoncer à l’achat.;Der Verbraucher kann vom Verkauf nicht zurücktreten.
egameConfirmRealChooseBet;Choose your bet, then start the game.;KIes je inzet en start daarna het spel.;Choisissez votre mise et commencez le jeu.;Wählen Sie Ihren Einsatz und starten Sie danach das Spiel.
egameConfirmRealChanceToWin;Chance to win: 1 of {0}.;Winstkansen: 1 of {0}.;Chance de gain : 1 sur {0}.;Gewinnchance: 1 zu {0}.
egameConfirmTryAction;Choose “Start” to start the test game.;Kies 'Start' om het testspel te starten.;Sélectionnez « Commencer » pour lancer le jeu d’essai.;Wählen Sie 'Start', um das Testspiel zu beginnen.
egameConfirmTryConfirm;Start;Start;Commencer;Start
egameConfirmTryLegal;The result of a test game is always losing.;Het resultaat van een testspel is altijd verlies.;Le résultat d’un jeu d’essai est toujours perdant.;Das Ergebnis eines Testspiels ist immer eine Niete.
egameLoading;Loading...;Laden…;Téléchargement…;Laden…
egameLogo;Logo;Logo;Logo;Logo
egameNext;Next;Volgende;Suivant;Weiter
euroSign;€;€ ;€;€
eGame.infoTabs.howToPlay;How to play?;Hoe spelen?;Comment jouer ?;Spielanleitung
eGame.infoTabs.whatToWin;What's to win?;Wat valt er te winnen?;Combien pouvez-vous gagner ?;Was gibt's zu gewinnen?
eGame.infoTabs.rules;Rules;Spelregels  ;Règlement;Spielregeln
eGame.termsAndConditions.title;Acceptance of game rules;Aanvaarding van de spelregels  ;Acceptation du règlement ;Spielregeln akzeptieren
eGame.termsAndConditions.confirmation;I have read the rules of the game and accept them.;Ik heb de spelregels gelezen en aanvaard ze.;Je confirme avoir lu le règlement du jeu et l'accepte.;Ich habe die Spielregeln gelesen und nehme diese an.
